state,year,sex,race,deaths,population,crude_rate,age_adjusted_rate,years_pll
Arizona,2023,Males,White,"1,027",3023640,33.97,31.35,"17,447"
Arizona,2023,Males,Black,53,218308,24.28,22.33,"1,550"
Arizona,2023,Males,American Indian / Alaska Native,69,188710,36.56,34.37,"2,277"
Arizona,2023,Males,Asian,10**,144324,6.93**,6.67**,244
Arizona,2023,Males,More than One Race,26,121216,21.45,25.23,837
Arizona,2023,Females,White,255,3032719,8.41,7.88,"4,281"
Arizona,2023,Females,Black,17**,204290,8.32**,8.29**,444
Arizona,2023,Females,American Indian / Alaska Native,31,194886,15.91,15.94,"1,039"
Arizona,2022,Males,White,"1,135",3006400,37.75,34.57,"19,204"
Arizona,2022,Males,Black,48,212784,22.56,20.96,"1,476"
Arizona,2022,Males,American Indian / Alaska Native,74,187607,39.44,39.61,"2,253"
Arizona,2022,Males,Asian,21,139103,15.1,15.09,445
Arizona,2022,Males,More than One Race,22,117676,18.7,22.47,684
Arizona,2022,Females,White,250,3014917,8.29,7.79,"4,219"
Arizona,2022,Females,Black,10**,199515,5.01**,4.97**,319
Arizona,2022,Females,American Indian / Alaska Native,27,193346,13.97,13.37,956
Arizona,2021,Males,White,985,2979402,33.06,30.4,"17,435"
Arizona,2021,Males,Black,45,206127,21.83,20.26,"1,430"
Arizona,2021,Males,American Indian / Alaska Native,96,186459,51.49,48.27,"3,134"
Arizona,2021,Males,Asian,17**,134402,12.65**,11.77**,421
Arizona,2021,Males,HI Native / Pacific Islander,0**,11010,0.00**,0.00**,
Arizona,2021,Males,More than One Race,40,113692,35.18,45.31,"1,200"
Arizona,2021,Females,White,242,2984429,8.11,7.74,"4,476"
Arizona,2021,Females,American Indian / Alaska Native,28,191427,14.63,13.88,"1,069"
Arizona,2021,Females,Asian,10**,148086,6.75**,6.74**,213
Arizona,2021,Females,HI Native / Pacific Islander,0**,9757,0.00**,0.00**,
Arizona,2020,Males,White,921,2951505,31.2,29.15,"16,379"
Arizona,2020,Males,Black,42,200741,20.92,19.91,"1,334"
Arizona,2020,Males,American Indian / Alaska Native,64,186225,34.37,32.63,"2,116"
Arizona,2020,Males,Asian,14**,131331,10.66**,9.84**,329
Arizona,2020,Males,More than One Race,25,109886,22.75,24.23,843
Arizona,2020,Females,White,254,2953322,8.6,8.29,"4,781"
Arizona,2020,Females,American Indian / Alaska Native,20**,190304,10.51**,9.74**,782
Arizona,2020,Females,HI Native / Pacific Islander,0**,9496,0.00**,0.00**,
Arizona,2019,Males,White,979,2988668,32.76,30.62,"17,174"
Arizona,2019,Males,Black,27,196355,13.75,12.39,864
Arizona,2019,Males,American Indian / Alaska Native,67,190381,35.19,33.63,"2,140"
Arizona,2019,Males,Asian,11**,128585,8.56**,8.91**,221
Arizona,2019,Males,More than One Race,17**,108014,15.74**,18.76**,512
Arizona,2019,Females,White,265,3024523,8.76,8.08,"4,148"
Arizona,2019,Females,Black,18**,185249,9.72**,9.11**,485
Arizona,2019,Females,American Indian / Alaska Native,19**,196329,9.68**,10.05**,595
Arizona,2019,Females,HI Native / Pacific Islander,0**,9512,0.00**,0.00**,
Arizona,2018,Males,White,982,2944748,33.35,31.16,"17,275"
Arizona,2018,Males,Black,43,189351,22.71,21.92,"1,286"
Arizona,2018,Males,American Indian / Alaska Native,89,187929,47.36,44.94,"2,996"
Arizona,2018,Males,Asian,10**,124098,8.06**,8.54**,223
Arizona,2018,Males,More than One Race,23,103567,22.21,25.82,707
Arizona,2018,Females,White,249,2978676,8.36,7.77,"4,040"
Arizona,2018,Females,Black,10**,178476,5.60**,5.61**,278
Arizona,2018,Females,American Indian / Alaska Native,18**,193627,9.30**,9.28**,706
Arizona,2018,Females,HI Native / Pacific Islander,0**,9171,0.00**,0.00**,
Arkansas,2023,Males,White,464,1193904,38.86,37.89,"8,651"
Arkansas,2023,Males,Black,40,228233,17.53,17.62,"1,228"
Arkansas,2023,Males,American Indian / Alaska Native,0**,17469,0.00**,0.00**,
Arkansas,2023,Males,More than One Race,0**,37767,0.00**,0.00**,
Arkansas,2023,Females,White,100,1211832,8.25,7.83,"1,826"
Arkansas,2023,Females,Black,12**,250014,4.80**,5.13**,391
Arkansas,2023,Females,Asian,0**,29333,0.00**,0.00**,
Arkansas,2023,Females,HI Native / Pacific Islander,0**,7010,0.00**,0.00**,
Arkansas,2022,Males,White,397,1187480,33.43,33.23,"7,982"
Arkansas,2022,Males,Black,35,227377,15.39,16.33,"1,068"
Arkansas,2022,Females,White,97,1205032,8.05,7.91,"1,893"
Arkansas,2022,Females,American Indian / Alaska Native,0**,16745,0.00**,0.00**,
Arkansas,2022,Females,More than One Race,0**,37087,0.00**,0.00**,
Arkansas,2021,Males,White,438,1182452,37.04,36.29,"8,146"
Arkansas,2021,Males,Black,41,227246,18.04,18.74,"1,307"
Arkansas,2021,Females,White,116,1198594,9.68,10.44,"2,763"
Arkansas,2021,Females,American Indian / Alaska Native,0**,16316,0.00**,0.00**,
Arkansas,2021,Females,HI Native / Pacific Islander,0**,6268,0.00**,0.00**,
Arkansas,2021,Females,More than One Race,0**,35776,0.00**,0.00**,
Arkansas,2020,Males,White,428,1178616,36.31,36.15,"8,877"
Arkansas,2020,Males,Black,45,227216,19.81,19.48,"1,541"
Arkansas,2020,Females,White,91,1193829,7.62,7.07,"1,640"
Arkansas,2020,Females,American Indian / Alaska Native,0**,15950,0.00**,0.00**,
Arkansas,2020,Females,HI Native / Pacific Islander,0**,6008,0.00**,0.00**,
Arkansas,2019,Males,White,404,1176907,34.33,33.19,"8,045"
Arkansas,2019,Males,Black,29,225941,12.84,13.52,852
Arkansas,2019,Males,HI Native / Pacific Islander,0**,6579,0.00**,0.00**,
Arkansas,2019,Females,White,100,1207424,8.28,8.56,"2,111"
Arkansas,2019,Females,More than One Race,0**,33666,0.00**,0.00**,
Arkansas,2018,Males,White,406,1175871,34.53,33.82,"8,282"
Arkansas,2018,Males,Black,25,225206,11.1,11.93,567
Arkansas,2018,Males,Asian,0**,24445,0.00**,0.00**,
Arkansas,2018,Males,More than One Race,0**,32152,0.00**,0.00**,
Arkansas,2018,Females,White,111,1205260,9.21,9.61,"2,425"
Arkansas,2018,Females,American Indian / Alaska Native,0**,15325,0.00**,0.00**,
Arkansas,2018,Females,Asian,0**,26047,0.00**,0.00**,
Arkansas,2018,Females,HI Native / Pacific Islander,0**,5523,0.00**,0.00**,
California,2023,Males,White,"2,710",13807100,19.63,18.48,"47,804"
California,2023,Males,Black,150,1263186,11.88,11.31,"3,947"
California,2023,Males,American Indian / Alaska Native,16**,344729,4.64**,4.62**,427
California,2023,Males,Asian,281,3084483,9.11,8.65,"6,135"
California,2023,Males,HI Native / Pacific Islander,12**,102051,11.76**,10.43**,252
California,2023,Males,More than One Race,100,844104,11.85,13.11,"3,248"
California,2023,Females,White,702,13620613,5.15,4.77,"12,484"
California,2023,Females,Black,46,1264907,3.64,3.56,"1,291"
California,2023,Females,Asian,128,3353393,3.82,3.64,"2,790"
California,2023,Females,More than One Race,43,845028,5.09,5.45,"1,248"
California,2022,Males,White,"2,768",13906692,19.9,18.89,"47,356"
California,2022,Males,Black,167,1268476,13.17,12.33,"4,182"
California,2022,Males,American Indian / Alaska Native,18**,341780,5.27**,4.85**,525
California,2022,Males,Asian,300,3043536,9.86,9.25,"6,871"
California,2022,Males,HI Native / Pacific Islander,16**,101817,15.71**,14.75**,546
California,2022,Males,More than One Race,114,834195,13.67,17.37,"3,089"
California,2022,Females,White,713,13699508,5.21,4.83,"12,721"
